Route,Direction,Direction_Destination
353,2,RAMSDEN ESTATE / RYE CRESCENT
354,1,BROMLEY NORTH STATION 
354,2,HIGH STREET / MAPLE ROAD
355,1,BRIXTON STATION  
355,2,MADEIRA ROAD
356,1,WICKHAM ROAD
356,2,SYDENHAM HILL / KIRKDALE
357,1,WHIPPS CROSS ROUNDABOUT
357,2,HATCH LANE
358,1,CRYSTAL PALACE PARADE
358,2,ORPINGTON STATION 
359,1,ADDINGTON VILLAGE INTERCHANGE
359,2,SELSDON LIBRARY
360,1,PRINCE CONSORT ROAD / IMPERIAL COLLEGE
360,2,ELEPHANT & CASTLE / NEWINGTON CAUSEWAY
362,1,KING GEORGE HOSPITAL
362,2,MANOR ROAD / GRANGE HILL STATION 
363,1,LAMBETH ROAD
363,2,CRYSTAL PALACE PARADE
364,1,BALLARDS ROAD
364,2,HAINAULT STREET
365,1,HAVERING PARK
365,2,MARDYKE ESTATE
366,1,BECKTON BUS STATION
366,2,FALMOUTH GARDENS
367,1,BROMLEY NORTH STATION 
367,2,WEST CROYDON BUS STATION
368,1,HARTS LANE ESTATE
368,2,CHADWELL HEATH POLICE STATION
370,1,LAKESIDE BUS STATION
370,2,MERCURY GARDENS
371,1,MANOR ROAD / SAINSBURYS
371,2,KINGSTON HALL ROAD
372,1,LAKESIDE BUS STATION
372,2,HORNCHURCH TOWN CENTRE
375,1,PASSINGFORD BRIDGE
375,2,ROMFORD STATION 
376,1,NEWHAM TOWN HALL
376,2,BECKTON BUS STATION
377,1,OAKWOOD STATION 
377,2,GLYN ROAD
379,1,YARDLEY LANE ESTATE
379,2,CHINGFORD STATION 
380,1,MOLESWORTH STREET
380,2,BELMARSH PRISON
381,1,COUNTY HALL
381,2,PECKHAM BUS STATION
382,1,MILL HILL EAST STATION 
382,2,SOUTHGATE STATION 
383,1,WOODSIDE PARK STATION 
383,2,THE SPIRES
384,1,COCKFOSTERS STATION 
384,2,QUINTA DRIVE
385,1,SALISBURY HALL SAINSBURY'S
385,2,CHINGFORD STATION 
386,1,ROYAL PARADE
386,2,WOOLWICH ARSENAL STATION  [DLR]
387,1,TRAFALGAR BUSINESS CENTRE
387,2,CHADWELL HEATH LANE
388,1,BLACKFRIARS STATION  
388,2,HACKNEY WICK / TROWBRIDGE ROAD
389,1,WESTERN WAY
389,2,THE SPIRES
390,1,PALACE GARDEN TERRACE / NOTTING HILL GTE
390,2,ARCHWAY STATION  / MACDONALD ROAD
391,1,SANDS END / SAINSBURY'S
391,2,RICHMOND BUS STATION
393,1,CHALK FARM MORRISONS
393,2,CLAPTON POND
394,1,TOLPUDDLE ST / ISLINGTON POLICE STATION
394,2,HOMERTON HOSPITAL / HOMERTON ROW
395,1,WESTWAY CROSS RETAIL PARK
395,2,ST GEORGES CENTRE
396,1,RODEN STREET
396,2,KING GEORGE HOSPITAL
397,1,BURTON ROAD
397,2,SALISBURY HALL SAINSBURY'S
398,1,HEMERY ROAD
398,2,RUISLIP STATION 
399,1,HADLEY WOOD STATION 
399,2,THE SPIRES
401,1,MARKET PLACE / BEXLEYHEATH CLOCK TOWER
401,2,THAMESMEAD TOWN CENTRE
403,1,WEST CROYDON BUS STATION
403,2,WARLINGHAM / SAINSBURY'S
404,1,WESTWAY
404,2,COULSDON LIBRARY
405,1,WEST CROYDON BUS STATION
405,2,REDHILL BUS STATION
406,1,EPSOM TOWN CENTRE
406,2,CROMWELL ROAD BUS STATION
407,1,CATERHAM VALLEY
407,2,SUTTON / MARSHALL'S ROAD
410,1,BEDDINGTON GARDENS
410,2,CRYSTAL PALACE PARADE
411,1,CENTRAL SQUARE
411,2,CROMWELL ROAD BUS STATION
412,1,WEST CROYDON BUS STATION
412,2,CHRISTCHURCH ROAD / PURLEY HOSPITAL
413,1,MORDEN STATION 
413,2,SUTTON BUS GARAGE
414,1,CHIPPENHAM ROAD
414,2,PUTNEY BRIDGE STATION 
415,1,ELEPHANT & CASTLE / NEWINGTON CAUSEWAY
415,2,TULSE HILL STATION 
417,1,CLAPHAM COMMON OLD TOWN
417,2,CRYSTAL PALACE PARADE
418,1,EPSOM TOWN CENTRE
418,2,CROMWELL ROAD BUS STATION
419,1,HAMMERSMITH BUS STATION
419,2,RICHMOND BUS STATION
422,1,BEXLEYHEATH BUS GARAGE
422,2,NORTH GREENWICH STATION 
423,1,HEATHROW TERMINAL 5
423,2,HOUNSLOW BUS STATION
424,1,STEVENAGE ROAD / FULHAM FOOTBALL CLUB
424,2,PUTNEY HEATH / GREEN MAN
425,1,KENNINGHALL ROAD
425,2,STRATFORD BUS STATION   [DLR]
427,1,ACTON OLD TOWN HALL / SALISBURY STREET
427,2,BELMONT ROAD
428,1,BLUEWATER SHOPPING CENTRE
428,2,ERITH TOWN CENTRE / RIVERSIDE
430,1,VICTORIA & ALBERT MUSEUM
430,2,MINSTEAD GARDENS
432,1,JASMINE GROVE
432,2,BRIXTON STATION  
434,1,WAPSES LODGE ROUNDABOUT
434,2,RIDGEMOUNT AVENUE
436,1,PADDINGTON STATION  
436,2,MOLESWORTH STREET
440,1,STONEBRIDGE PARK STATION  
440,2,POWER ROAD
444,1,CHINGFORD STATION 
444,2,TURNPIKE LANE BUS STATION
450,1,BELL GREEN / SAINSBURY'S
450,2,WEST CROYDON BUS STATION
452,1,WANDSWORTH ROAD STATION 
452,2,KENSAL RISE STATION 
453,1,GREAT CENTRAL STREET
453,2,DEPTFORD BRIDGE [DLR]
455,1,WALLINGTON STATION 
455,2,CANONS HILL
460,1,NORTH FINCHLEY BUS STATION
460,2,POUND LANE
462,1,HAINAULT STREET
462,2,HAINAULT / THE LOWE
463,1,POLLARDS HILL
463,2,COULSDON SOUTH STATION 
464,1,NEW ADDINGTON TRAM STOP >T<
464,2,TATSFIELD VILLAGE / OLD SHIP
465,1,SOUTH STREET
465,2,CROMWELL ROAD BUS STATION
466,1,WESTWAY
466,2,ADDINGTON VILLAGE INTERCHANGE
467,1,EPSOM TOWN CENTRE
467,2,HINCHLEY WOOD SCHOOL
468,1,LAMBETH ROAD
468,2,WARHAM ROAD / BRIGHTON ROAD
469,1,ERITH TOWN CENTRE / RIVERSIDE
469,2,QUEEN ELIZABETH HOSPITAL / WEST ENTRANCE
470,1,EPSOM TOWN CENTRE
470,2,COLLIERS WOOD STATION 
472,1,THAMESMEAD TOWN CENTRE
472,2,NORTH GREENWICH STATION 
473,1,STRATFORD BUS STATION   [DLR]
473,2,NORTH WOOLWICH FERRY 
474,1,MANOR PARK STATION 
474,2,HERMIT ROAD
476,1,EUSTON BUS STATION  
476,2,NORTHUMBERLAND PARK
481,1,WEST LONDON MENTAL HEALTH TRUST
481,2,CROMWELL ROAD BUS STATION
482,1,HEATHROW TERMINAL 5
482,2,SOUTHALL TOWN HALL
484,1,DENMARK HILL / CAMBERWELL GREEN
484,2,LEWISHAM BUS STATION
485,1,ARMOURY WAY
485,2,HAMMERSMITH BUS STATION
486,1,FRISWELL PLACE
486,2,NORTH GREENWICH STATION 
487,1,WILLESDEN JUNCTION STATION  
487,2,SOUTH HARROW BUS STATION
488,1,KINGSLAND ROAD / FOREST ROAD
488,2,HANCOCK ROAD
490,1,HEATHROW TERMINAL 5
490,2,POOLS ON THE PARK
491,1,NORTH MIDDLESEX HOSPITAL
491,2,WALTHAM CROSS BUS STATION
492,1,BLUEWATER SHOPPING CENTRE
492,2,SIDCUP STATION 
493,1,RICHMOND / MANOR ROAD
493,2,ST GEORGE'S / UNIVERSITY OF LONDON
496,1,QUEEN'S HOSPITAL
496,2,HAROLD WOOD STATION 
498,1,BRENTWOOD SAINSBURY'S
498,2,ROMFORD STATION 
499,1,STANSGATE ROAD SHOPS
499,2,GALLOWS CORNER / TESCO
507,1,VICTORIA BUS STATION  
507,2,"WATERLOO STATION, UPPER TAXI ROAD "
521,1,LONDON BRIDGE STATION  
521,2,WATERLOO STATION / MEPHAM STREET  
541,1,PRINCE REGENT BUS STATION [DLR]
541,2,THE APPLEBY CENTRE
549,1,LOUGHTON STATION 
549,2,SOUTH WOODFORD STATION 
560,1,STREATHAM COMMON STATION 
560,2,IVY GARDENS
601,1,WILMINGTON HALL SCHOOL
601,2,THAMESMEAD TOWN CENTRE
602,1,TOWNLEY GRAMMAR SCHOOL
602,2,THAMESMEAD TOWN CENTRE
603,1,SWISS COTTAGE STATION 
603,2,MUSWELL HILL
605,1,MARSH HILL / MARSH LANE
605,2,EDGWARE STATION 
606,1,THE TOTTERIDGE ACADEMY
606,2,QUEENSBURY STATION 
607,1,WHITE CITY BUS STATION 
607,2,BELMONT ROAD
608,1,SHENFIELD HIGH SCHOOL
608,2,GALLOWS CORNER
609,1,HAMMERSMITH BUS STATION
609,2,MORTLAKE BUS STATION
611,1,EAST FINCHLEY CEMETERY
611,2,STONEBRIDGE PARK STATION  
612,1,THE HOLT
612,2,FARLEY ROAD
613,1,REIGATE AVENUE
613,2,WORCESTER PARK STATION 
616,1,EDMONTON GREEN BUS STATION
616,2,OLD PARK RIDINGS
617,1,TURKEY STREET STATION 
617,2,TURNPIKE LANE BUS STATION
621,1,BEXLEY ROAD / CROWN WOODS SCHOOL
621,2,LEWISHAM POLICE STATION
624,1,WELLING LIBRARY
624,2,GROVE PARK STATION 
625,1,CHISLEHURST WAR MEMORIAL
625,2,WARWICK TERRACE / PLUMSTEAD COMMON ROAD
626,1,DAME ALICE OWENS SCHOOL
626,2,FINCHLEY CENTRAL STATION 
627,1,WOODCOTE GREEN
627,2,WORCESTER PARK STATION 
628,1,SOUTHGATE STATION 
629,1,TURKEY STREET STATION 
629,2,WOOD GREEN BUS GARAGE
632,1,KILBURN PARK STATION 
632,2,SOUTH MEAD
634,1,BARNET HOSPITAL
634,2,MUSWELL HILL
635,1,BRENTFORD COUNTY COURT
635,2,ST PAUL'S SCHOOL
636,1,CHINBROOK ROAD / BARING ROAD
637,1,CHINBROOK ROAD / BARING ROAD
638,1,KEMNAL TECHNOLOGY COLLEGE
638,2,GLEBE WAY
639,1,CLAPHAM JUNCTION STATION 
639,2,ST JOHN BOSCO COLLEGE
640,1,BENTLEYWOOD HIGH SCHOOL
640,2,SOUTH HARROW BUS STATION
641,1,BROOM ROAD / TEDDINGTON SCHOOL
641,2,CENTRAL SQUARE
642,1,LONDON ACADEMY
642,2,WEST HENDON BROADWAY / HERBERT ROAD
643,1,CHRIST'S COLLEGE
643,2,BRENT CROSS SHOPPING CENTRE
646,1,MOOR LANE
646,2,NOAK HILL ROAD
647,1,SETTLE ROAD
647,2,ROMFORD STATION 
648,1,MOOR LANE
648,2,ROMFORD MARKET
649,1,CAMPION SCHOOL
649,2,EASTERN AVENUE
650,1,EMERSON PARK SCHOOL
650,2,EASTERN AVENUE
651,1,CHASE CROSS
651,2,ROMFORD STATION 
652,1,UPMINSTER STATION  
652,2,ABBEY WOOD
653,1,JEWISH FREE SCHOOL
653,2,MUSWELL HILL
654,1,ELDRED DRIVE
654,2,ADDINGTON VILLAGE INTERCHANGE
655,1,RAYNES PARK HIGH SCHOOL
655,2,MITCHAM FAIR GREEN
656,1,GALLOWS CORNER / TESCO
656,2,EMERSON PARK SCHOOL
657,1,WHITEHALL ROAD / BANCROFTS SCHOOL
657,2,SALISBURY HALL SAINSBURY'S
658,1,BERESFORD SQ / WOOL'CH ARSENAL STN [DLR]
658,2,UNIVERSITY OF GREENWICH / MANSION SITE
660,1,BEXLEY ROAD / CROWN WOODS SCHOOL
660,2,CATFORD GARAGE
661,1,ELTHAM COLLEGE
661,2,STATION SQUARE / PETTS WOOD STATION 
664,1,HOMESTEAD WAY / MILNE PARK
664,2,CHARLES DARWIN SCHOOL
665,1,SANDAL ROAD / HOLY CROSS SCHOOL
665,2,CLAREMONT ROAD / SURBITON STATION 
667,1,WEST HATCH SCHOOL
667,2,HAINAULT STREET
669,1,BEXLEY LANE / CLEEVE PARK SCHOOL
669,2,THAMESMEAD TOWN CENTRE
670,1,ST JOHN BOSCO COLLEGE
670,2,CLAPHAM JUNCTION STATION 
671,1,CHESSINGTON SOUTH STATION 
671,2,TIFFIN GIRLS SCHOOL
672,1,BERESFORD SQ / WOOL'CH ARSENAL STN [DLR]
673,1,BECKTON BUS STATION
674,1,ROMFORD STATION 
674,2,DAGNAM PARK SQUARE
675,1,BROADMEAD ROAD
675,2,ST JAMES STREET STATION 
678,1,BECKTON BUS STATION
678,2,STRATFORD BUS STATION   [DLR]
679,1,GOODMAYES LANE / THE LORD NAPIER
679,2,ST THOMAS OF CANTERBURY CHURCH
681,1,BROOM ROAD / TEDDINGTON SCHOOL
681,2,HOUNSLOW BUS STATION
683,1,JEWISH FREE SCHOOL
683,2,COLNEY HATCH LANE
685,1,FARLEY ROAD
686,1,ROMFORD STATION 
686,2,ST EDWARDS SCHOOL
687,1,BARKING STATION  
688,1,JEWISH FREE SCHOOL
688,2,SOUTHGATE STATION 
690,1,BURNTWOOD SCHOOL / SWABY ROAD
690,2,NORWOOD BUS GARAGE
691,1,LAMBERTS ROAD / HOLLYFIELD SCHOOL
691,2,TUDOR DRIVE
692,1,GREEN DRAGON LANE
696,1,HUME WAY
696,2,CONWAY DRIVE
697,1,AUSTINS LANE
697,2,BALMORAL DRIVE
698,1,AUSTINS LANE
698,2,WEST DRAYTON STATION 
699,1,DAME ALICE OWENS SCHOOL
699,2,GREEN DRAGON LANE
931,1,LEWISHAM CENTRE
931,2,CRYSTAL PALACE PARADE
965,1,SURY BASIN
965,2,RIVERHILL
969,1,ROEHAMPTON VALE ASDA
969,2,LINCOLN AVENUE
A10,1,HEATHROW CENTRAL BUS STATION
A10,2,BELMONT ROAD
B11,1,THAMESMEAD TOWN CENTRE / CENTRAL WAY
B11,2,BEXLEYHEATH BUS GARAGE
B12,1,ST MARY'S ROAD
B12,2,ERITH TOWN CENTRE / RIVERSIDE
B13,1,NEW ELTHAM STATION  / SOUTHWOOD ROAD
B13,2,FRISWELL PLACE
B14,1,ORPINGTON STATION 
B14,2,FRISWELL PLACE
B15,1,HORNCASTLE ROAD
B15,2,FRISWELL PLACE
B16,1,KIDBROOKE STATION 
B16,2,BEXLEYHEATH BUS GARAGE
C1,1,WHITE CITY BUS STATION 
C1,2,VICTORIA STN   / GROSVENOR GARDENS
C10,1,VICTORIA STN   / GROSVENOR GARDENS
C10,2,CANADA WATER BUS STATION
C11,1,BRENT CROSS SHOPPING CENTRE
C11,2,ARCHWAY STATION  / MACDONALD ROAD
C2,1,VICTORIA
C2,2,PARLIAMENT HILL FIELDS
C3,1,WARWICK ROAD TESCO
C3,2,CLAPHAM JUNCTION STATION / FALCON ROAD 
D3,1,ISLE OF DOGS ASDA
D3,2,LONDON CHEST HOSPITAL
D6,1,ISLE OF DOGS ASDA
D6,2,PEMBURY ROAD
D7,1,MILE END STATION 
D7,2,POPLAR / ALL SAINTS CHURCH
D8,1,ISLE OF DOGS ASDA
D8,2,STRATFORD CITY BUS STATION
DF2,1,PARK ROAD / LONDON BUSINESS SCHOOL
DF2,2,SWISS COTTAGE STATION 
E1,1,HAVEN GREEN / EALING BROADWAY STN  
E1,2,CLIFTON ROAD
E10,1,HAVEN GREEN / EALING BROADWAY STN  
E10,2,ISLIP MANOR ROAD
E11,1,THE COMMON / WARWICK DENE
E11,2,CLIFTON ROAD
E2,1,CLIFTON ROAD
E2,2,BRENTFORD BUS DEPOT
E3,1,EDENSOR ROAD / NEW CHISWICK POOL
E3,2,CLIFTON ROAD
E5,1,PERIVALE TESCO
E5,2,TOPLOCKS ESTATE / GLADE LANE
E6,1,BULLS BRIDGE TESCO
E6,2,GREENFORD STATION  
E7,1,EALING BROADWAY STN   / HAVEN GREEN
E7,2,RUISLIP STATION 
E8,1,EALING BROADWAY STATION  
E8,2,BRENTFORD BUS DEPOT
E9,1,EALING BROADWAY STATION  
E9,2,WELBECK AVENUE
EL1,1,THAMES VIEW ESTATE / ABRIDGE WAY
EL1,2,ILFORD HILL
EL2,1,DAGENHAM DOCK TERMINUS
EL2,2,ILFORD HILL
G1,1,SHAFTESBURY ESTATE / WICKERSLEY ROAD
G1,2,HERMITAGE LANE
H1,1,HENRIETTA BARNETT SCHOOL
H1,2,GOLDERS GREEN STATION 
H10,1,HARROW BUS STATION
H11,1,MOUNT VERNON HOSPITAL
H11,2,HARROW BUS STATION
H12,1,SOUTH HARROW BUS STATION
H12,2,STANMORE STATION 
H13,1,RUISLIP LIDO
H13,2,ST VINCENT'S NURSING HOME
H14,1,NORTHWICK PARK HOSPITAL
H14,2,ST THOMAS' DRIVE
H17,1,WEMBLEY CENTRAL STATION  
H17,2,HARROW BUS STATION
H18,1,HARROW BUS STATION
H19,1,HARROW BUS STATION
H2,1,GOLDERS GREEN STATION 
H20,1,TWICKENHAM TESCO
H20,2,HOUNSLOW CIVIC CENTRE
H22,1,MANOR ROAD
H22,2,BELL ROAD / BELL CORNER
H25,1,HATTON CROSS BUS STATION 
H25,2,CHURCHFIELDS AVENUE
H26,1,HATTON CROSS BUS STATION 
H26,2,CENTRAL PARADE
H28,1,TESCO'S OSTERLEY
H28,2,BULLS BRIDGE TESCO
H3,1,HILLTOP
H3,2,GOLDERS GREEN STATION 
H32,1,SOUTHALL TOWN HALL
H32,2,HOUNSLOW BUS STATION
H37,1,MANOR ROAD
H37,2,HOUNSLOW / BLENHEIM CENTRE
H9,1,HARROW BUS STATION
H91,1,HAMMERSMITH BUS STATION
H91,2,HOUNSLOW WEST STATION 
H98,1,WOOD END GREEN ROAD
H98,2,HOUNSLOW BUS STATION
K1,1,CROMWELL ROAD BUS STATION
K1,2,NEW MALDEN STATION 
K2,1,HOOK PARADE
K2,2,KINGSTON HOSPITAL
K3,1,ESHER HIGH STREET
K3,2,ROEHAMPTON VALE ASDA
K4,1,RIPON GARDENS
K4,2,KINGSTON HOSPITAL
K5,1,MORDEN STATION 
K5,2,BEAUFORT ROAD
K50,1,EDEN STREET
K50,2,CHESSINGTON WORLD OF ADVENTURES
LR1,1,EMBANKMENT >R<
LR1,2,WOOLWICH >R<
LR2,1,BANKSIDE
LR2,2,VAUXHALL ST GEORGE >R<
N1,1,TITMUSS AVENUE
N1,2,TOTTENHAM COURT ROAD 
N109,1,OXFORD CIRCUS
N109,2,PARK STREET
N11,1,LIVERPOOL STREET STATION
N11,2,EALING BROADWAY STATION  
N113,1,NORTHUMBERLAND AVENUE / TRAFALGAR SQUARE
N113,2,EDGWARE STATION 
N13,1,ALDWYCH / DRURY LANE
N13,2,NORTH FINCHLEY BUS STATION
N133,1,LIVERPOOL STREET STATION
N133,2,RALEIGH GARDENS
N136,1,CHISLEHURST WAR MEMORIAL
N136,2,OXFORD CIRCUS
N137,1,JOHN PRINCE'S STREET / OXFORD CIRCUS
N137,2,CRYSTAL PALACE PARADE
N15,1,CONDUIT STREET
N15,2,ROMFORD MARKET
N155,1,ALDWYCH / DRURY LANE
N155,2,MORDEN STATION 
N16,1,EDGWARE STATION 
N16,2,VICTORIA BUS STATION  
N171,1,TOTTENHAM COURT ROAD 
N171,2,SPRINGBANK ROAD / HITHER GREEN STATION
N18,1,WHITEHALL / TRAFALGAR SQUARE
N18,2,LONG ELMES
N19,1,CLAPHAM JUNCTION STATION 
N19,2,FINSBURY PARK INTERCHANGE  
N2,1,HORSE GUARDS PARADE
N2,2,CRYSTAL PALACE PARADE
N20,1,WHITEHALL / TRAFALGAR SQUARE
N20,2,FITZJOHN AVENUE
N207,1,BLOOMSBURY SQUARE
N207,2,BELMONT ROAD
N21,1,CHARING CROSS STATION  
N21,2,GEDDES PLACE
N22,1,PICCADILLY CIRCUS
N22,2,SOUTH ROAD / FULWELL
N253,1,TOTTENHAM COURT ROAD STATION 
N253,2,ALDGATE BUS STATION
N26,1,CHINGFORD STATION 
N26,2,CHARING CROSS STATION  
N279,1,TRAFALGAR SQUARE / CHARING CROSS STN 
N279,2,WALTHAM CROSS BUS STATION
N28,1,MAPLETON CRESCENT
N28,2,CAMDEN TOWN STATION 
N29,1,TRAFALGAR SQUARE / CHARING CROSS STN 
N29,2,LITTLE PARK GARDENS
N3,1,BROMLEY NORTH STATION 
N3,2,MARGARET STREET / OXFORD CIRCUS
N31,1,CLAPHAM JUNCTION STATION 
N31,2,CAMDEN TOWN STATION 
N343,1,NEW CROSS / JERNINGHAM ROAD
N343,2,WHITEHALL / TRAFALGAR SQUARE
N35,1,TOTTENHAM COURT ROAD STATION 
N35,2,CLAPHAM JUNCTION STATION / FALCON ROAD 
N38,1,VICTORIA BUS STATION  
N38,2,WALTHAMSTOW BUS STATION
N381,1,HORSE GUARDS PARADE
N381,2,PECKHAM BUS STATION
N41,1,TOTTENHAM HALE BUS STATION
N41,2,TRAFALGAR SQUARE / CHARING CROSS STN 
N44,1,SUTTON STATION  / THE QUADRANT
N44,2,ALDWYCH / DRURY LANE
N47,1,ST MARY CRAY STATION 
N47,2,TRAFALGAR SQUARE / CHARING CROSS STN 
N5,1,WHITEHALL / TRAFALGAR SQUARE
N5,2,EDGWARE STATION 
N55,1,OXFORD CIRCUS
N55,2,ST THOMAS OF CANTERBURY CHURCH
N550,1,CANNING TOWN STATION  [DLR]
N550,2,TRAFALGAR SQUARE
N551,1,GALLIONS REACH SHOPPING PARK
N551,2,TRAFALGAR SQUARE
N63,1,KING'S CROSS STN   / YORK WAY
N63,2,CRYSTAL PALACE PARADE
N64,1,HOMESTEAD WAY / MILNE PARK
N64,2,THORNTON HEATH POND
N68,1,TOTTENHAM COURT ROAD STATION 
N68,2,OLD COULSDON / TUDOR ROSE
N7,1,RUSSELL SQUARE STATION 
N7,2,NORTHOLT STATION 
N73,1,WALTHAMSTOW BUS STATION
N73,2,VICTORIA BUS STATION  
N74,1,BAKER STREET STATION 
N74,2,MINSTEAD GARDENS
N76,1,LOWER MARSH
N76,2,NORTHUMBERLAND PARK
N8,1,HOLLES STREET
N8,2,HAINAULT / THE LOWE
N86,1,DAGNAM PARK SQUARE
N86,2,STRATFORD BUS STATION   [DLR]
N87,1,ALDWYCH / DRURY LANE
N87,2,FAIRFIELD BUS STATION
N89,1,ERITH TOWN CENTRE / RIVERSIDE
N89,2,CHARING CROSS STATION  
N9,1,HEATHROW TERMINAL 5
N9,2,ALDWYCH / DRURY LANE
N91,1,WHITEHALL / TRAFALGAR SQUARE
N91,2,COCKFOSTERS STATION 
N97,1,WHITEHALL / TRAFALGAR SQUARE
N97,2,HAMMERSMITH BUS STATION
N98,1,RED LION SQUARE
N98,2,STANMORE STATION 
P12,1,BROCKLEY RISE / CHANDOS
P12,2,SURREY QUAYS SHOPPING CENTRE
P13,1,NEW CROSS SAINSBURY'S
P13,2,STREATHAM STATION 
P4,1,BRIXTON STATION  
P4,2,LEWISHAM BUS STATION
P5,1,PATMORE ESTATE / DRURY HOUSE
P5,2,ELEPHANT & CASTLE / NEWINGTON CAUSEWAY
R1,1,HIGH STREET / WORLDS END LANE
R1,2,GROVELANDS ROAD
R10,1,HIGH STREET / GREEN STREET GREEN
R10,2,ORPINGTON STATION 
R11,1,HIGH STREET / WORLDS END LANE
R11,2,SIDCUP / QUEEN MARY'S HOSPITAL
R2,1,BIGGIN HILL VALLEY / EAST HILL
R2,2,STATION SQUARE / PETTS WOOD STATION 
R3,1,CHELSFIELD VILLAGE / FIVE BELLS
R3,2,PRINCESS ROYAL UNIVERSITY HOSPITAL
R4,1,PRINCESS ROYAL UNIVERSITY HOSPITAL
R4,2,AUGUSTINE ROAD
R5,1,HIGH STREET / GREEN STREET GREEN
R5,2,ORPINGTON STATION 
R6,1,ST MARY CRAY/ STATION APPROACH
R6,2,ORPINGTON STATION 
R68,1,HAMPTON COURT STATION 
R68,2,KEW RETAIL PARK
R7,1,AQUILA ESTATE
R7,2,ORPINGTON POLICE STATION
R70,1,RICHMOND / MANOR ROAD
R70,2,NURSERYLANDS SHOPPING CENTRE
R8,1,BIGGIN HILL POST OFFICE
R8,2,ORPINGTON STATION 
R9,1,TINTAGEL ROAD / GILLMANS ROAD
R9,2,ORPINGTON STATION 
RV1,1,TOWER GATEWAY [DLR]
RV1,2,COVENT GARDEN / CATHERINE STREET
S1,1,MITCHAM / LOWER GREEN
S1,2,BANSTEAD / MARKS & SPENCER
S3,1,MALDEN MANOR STATION 
S3,2,SUTTON HOSPITAL
S4,1,ST HELIER STATION 
S4,2,LINK LANE
T31,1,MARKFIELD
T31,2,HOMESTEAD WAY / MILNE PARK
T32,1,ADDINGTON VILLAGE INTERCHANGE
T32,2,NEW ADDINGTON TRAM STOP >T<
T33,1,WEST CROYDON BUS STATION
T33,2,ADDINGTON VILLAGE INTERCHANGE
U1,1,WEST DRAYTON STATION 
U1,2,RUISLIP STATION 
U10,1,GLENHURST AVENUE
U10,2,BELMONT ROAD
U2,1,BELMONT ROAD
U2,2,BRUNEL UNIVERSITY
U3,1,HEATHROW CENTRAL BUS STATION
U3,2,BELMONT ROAD
U4,1,BELMONT ROAD
U4,2,PROLOGIS PARK
U5,1,HAYES AND HARLINGTON STATION 
U5,2,BELMONT ROAD
U7,1,LOMBARDY RETAIL PARK
U7,2,BELMONT ROAD
U9,1,HAREFIELD HOSPITAL
U9,2,BELMONT ROAD
UL1,1,ROYAL FREE HOSPITAL
UL1,2,ANGEL LANE
UL2,1,GOSPEL OAK STATION 
UL2,2,GUNNERSBURY STATION  
UL3,1,UPPER HOLLOWAY STATION 
UL3,2,GUNNERSBURY STATION  
UL4,1,KING'S CROSS STATION  
UL4,2,FINCHLEY CENTRAL
W10,1,ENFIELD TOWN / CECIL ROAD
W10,2,GOLF RIDE
W11,1,WALTHAMSTOW BUS STATION
W11,2,CHINGFORD HALL ESTATE
W12,1,WOODBINE PLACE
W12,2,RENSBURG ROAD
W13,1,ST THOMAS OF CANTERBURY CHURCH
W13,2,LEYTONSTONE STATION 
W14,1,LEYTON MILLS
W14,2,CROSS ROAD
W15,1,PEMBURY ROAD
W15,2,HIGHAM HILL  COGAN AVENUE
W16,1,LEYTONSTONE STATION / GROVE GREEN ROAD
W16,2,CHINGFORD MOUNT
W19,1,HAINAULT STREET
W19,2,ARGALL AVENUE
W3,1,FINSBURY PARK STATION
W3,2,NORTHUMBERLAND PARK BUS STAND
W4,1,FERRY LANE PRIMARY SCHOOL
W4,2,MITCHELL ROAD
W5,1,HARRINGAY SAINSBURY'S
W5,2,ARCHWAY STATION  / MACDONALD ROAD
W6,1,EDMONTON GREEN BUS STATION
W6,2,SOUTHGATE STATION 
W7,1,FINSBURY PARK STATION
W7,2,MUSWELL HILL BROADWAY
W8,1,PICKETTS LOCK CENTRE
W8,2,HAREFIELD CLOSE
W9,1,SOUTHGATE STATION 
W9,2,HAREFIELD CLOSE
X26,1,WHITGIFT CENTRE
X26,2,HEATHROW CENTRAL BUS STATION
X68,1,RUSSELL SQUARE
X68,2,WEST CROYDON BUS STATION
